,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
1443,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1444,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(12)信息获取及处理技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1445,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1446,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1447,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(13)计算机辅助技术（CAD/CAE/CAT/CAM）,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1448,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1449,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1450,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(14)微型/智能机器人技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1451,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1452,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1453,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(15)光电检测技术及仪器,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1454,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1455,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1456,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(16)测试与控制技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1457,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1458,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1459,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(17)无损检测技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1460,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1461,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1462,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(18)传感技术及应用,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1463,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1464,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1465,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(19)图像处理技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1466,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1467,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1468,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(20)嵌入式系统及虚拟、网络仪器技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1469,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1470,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1471,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(21)生物微机电技术及系统,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1472,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1473,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1474,,统考,(012)微电子与通信工程学院,(085400)(专业学位)电子信息,(00)入校后确定研究方向,全日制,"('专业：30(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(915)电子技术三
1475,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(01)智能系统与新能源技术方向团队,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
